token_symbol,exchange,observation_days,first_date,last_date,is_selected
1INCH,binance,180,2026-01-17,2026-07-15,1
1INCH,bitget,180,2026-01-16,2026-07-14,1
1INCH,bybit,180,2026-01-17,2026-07-15,1
1INCH,coinbase,180,2026-01-17,2026-07-15,1
1INCH,crypto_com,180,2026-01-17,2026-07-15,1
1INCH,gate,180,2026-01-17,2026-07-15,1
1INCH,htx,180,2026-01-16,2026-07-14,1
1INCH,kraken,180,2026-01-17,2026-07-15,1
1INCH,kucoin,180,2026-01-17,2026-07-15,1
1INCH,mexc,180,2026-01-17,2026-07-15,1
1INCH,okx,180,2026-01-17,2026-07-15,1
1INCH,upbit,180,2026-01-17,2026-07-15,1
AAVE,binance,180,2026-01-17,2026-07-15,1
AAVE,bitget,180,2026-01-16,2026-07-14,1
AAVE,bybit,180,2026-01-17,2026-07-15,1
AAVE,coinbase,180,2026-01-17,2026-07-15,1
AAVE,crypto_com,180,2026-01-17,2026-07-15,1
AAVE,gate,180,2026-01-17,2026-07-15,1
AAVE,htx,180,2026-01-16,2026-07-14,1
AAVE,kraken,180,2026-01-17,2026-07-15,1
AAVE,kucoin,180,2026-01-17,2026-07-15,1
AAVE,mexc,180,2026-01-17,2026-07-15,1
AAVE,okx,180,2026-01-17,2026-07-15,1
AAVE,upbit,180,2026-01-17,2026-07-15,1
ARB,binance,180,2026-01-17,2026-07-15,1
ARB,bitget,180,2026-01-16,2026-07-14,1
ARB,bybit,180,2026-01-17,2026-07-15,1
ARB,coinbase,180,2026-01-17,2026-07-15,1
ARB,crypto_com,180,2026-01-17,2026-07-15,1
ARB,gate,180,2026-01-17,2026-07-15,1
ARB,htx,180,2026-01-16,2026-07-14,1
ARB,kraken,180,2026-01-17,2026-07-15,1
ARB,kucoin,180,2026-01-17,2026-07-15,1
ARB,mexc,180,2026-01-17,2026-07-15,1
ARB,okx,180,2026-01-17,2026-07-15,1
ARB,upbit,180,2026-01-17,2026-07-15,1
BONK,binance,180,2026-01-17,2026-07-15,1
BONK,bitget,180,2026-01-16,2026-07-14,1
BONK,bybit,180,2026-01-17,2026-07-15,1
BONK,coinbase,180,2026-01-17,2026-07-15,1
BONK,crypto_com,180,2026-01-17,2026-07-15,1
BONK,gate,180,2026-01-17,2026-07-15,1
BONK,htx,180,2026-01-16,2026-07-14,1
BONK,kraken,180,2026-01-17,2026-07-15,1
BONK,kucoin,180,2026-01-17,2026-07-15,1
BONK,mexc,180,2026-01-17,2026-07-15,1
BONK,okx,180,2026-01-17,2026-07-15,1
BONK,upbit,180,2026-01-17,2026-07-15,1
CAKE,binance,180,2026-01-17,2026-07-15,1
CAKE,bitget,180,2026-01-16,2026-07-14,1
CAKE,bybit,180,2026-01-17,2026-07-15,1
CAKE,coinbase,180,2026-01-17,2026-07-15,1
CAKE,crypto_com,0,,,0
CAKE,gate,180,2026-01-17,2026-07-15,1
CAKE,htx,180,2026-01-16,2026-07-14,1
CAKE,kraken,180,2026-01-17,2026-07-15,1
CAKE,kucoin,180,2026-01-17,2026-07-15,1
CAKE,mexc,180,2026-01-17,2026-07-15,1
CAKE,okx,0,,,0
CAKE,upbit,0,,,0
COMP,binance,180,2026-01-17,2026-07-15,1
COMP,bitget,180,2026-01-16,2026-07-14,1
COMP,bybit,180,2026-01-17,2026-07-15,1
COMP,coinbase,180,2026-01-17,2026-07-15,1
COMP,crypto_com,180,2026-01-17,2026-07-15,1
COMP,gate,180,2026-01-17,2026-07-15,1
COMP,htx,180,2026-01-16,2026-07-14,1
COMP,kraken,180,2026-01-17,2026-07-15,1
COMP,kucoin,180,2026-01-17,2026-07-15,1
COMP,mexc,180,2026-01-17,2026-07-15,1
COMP,okx,180,2026-01-17,2026-07-15,1
COMP,upbit,180,2026-01-17,2026-07-15,1
CRV,binance,180,2026-01-17,2026-07-15,1
CRV,bitget,180,2026-01-16,2026-07-14,1
CRV,bybit,180,2026-01-17,2026-07-15,1
CRV,coinbase,180,2026-01-17,2026-07-15,1
CRV,crypto_com,180,2026-01-17,2026-07-15,1
CRV,gate,180,2026-01-17,2026-07-15,1
CRV,htx,180,2026-01-16,2026-07-14,1
CRV,kraken,180,2026-01-17,2026-07-15,1
CRV,kucoin,180,2026-01-17,2026-07-15,1
CRV,mexc,180,2026-01-17,2026-07-15,1
CRV,okx,180,2026-01-17,2026-07-15,1
CRV,upbit,0,,,0
EIGEN,binance,180,2026-01-17,2026-07-15,1
EIGEN,bitget,180,2026-01-16,2026-07-14,1
EIGEN,bybit,180,2026-01-17,2026-07-15,1
EIGEN,coinbase,180,2026-01-17,2026-07-15,1
EIGEN,crypto_com,0,,,0
EIGEN,gate,180,2026-01-17,2026-07-15,1
EIGEN,htx,180,2026-01-16,2026-07-14,1
EIGEN,kraken,180,2026-01-17,2026-07-15,1
EIGEN,kucoin,180,2026-01-17,2026-07-15,1
EIGEN,mexc,180,2026-01-17,2026-07-15,1
EIGEN,okx,180,2026-01-17,2026-07-15,1
EIGEN,upbit,0,,,0
ENA,binance,180,2026-01-17,2026-07-15,1
ENA,bitget,180,2026-01-16,2026-07-14,1
ENA,bybit,180,2026-01-17,2026-07-15,1
ENA,coinbase,180,2026-01-17,2026-07-15,1
ENA,crypto_com,180,2026-01-17,2026-07-15,1
ENA,gate,180,2026-01-17,2026-07-15,1
ENA,htx,180,2026-01-16,2026-07-14,1
ENA,kraken,180,2026-01-17,2026-07-15,1
ENA,kucoin,180,2026-01-17,2026-07-15,1
ENA,mexc,180,2026-01-17,2026-07-15,1
ENA,okx,180,2026-01-17,2026-07-15,1
ENA,upbit,180,2026-01-17,2026-07-15,1
ENS,binance,180,2026-01-17,2026-07-15,1
ENS,bitget,180,2026-01-16,2026-07-14,1
ENS,bybit,180,2026-01-17,2026-07-15,1
ENS,coinbase,180,2026-01-17,2026-07-15,1
ENS,crypto_com,180,2026-01-17,2026-07-15,1
ENS,gate,180,2026-01-17,2026-07-15,1
ENS,htx,180,2026-01-16,2026-07-14,1
ENS,kraken,180,2026-01-17,2026-07-15,1
ENS,kucoin,180,2026-01-17,2026-07-15,1
ENS,mexc,180,2026-01-17,2026-07-15,1
ENS,okx,180,2026-01-17,2026-07-15,1
ENS,upbit,180,2026-01-17,2026-07-15,1
ETHFI,binance,180,2026-01-17,2026-07-15,1
ETHFI,bitget,180,2026-01-16,2026-07-14,1
ETHFI,bybit,180,2026-01-17,2026-07-15,1
ETHFI,coinbase,180,2026-01-17,2026-07-15,1
ETHFI,crypto_com,0,,,0
ETHFI,gate,180,2026-01-17,2026-07-15,1
ETHFI,htx,180,2026-01-16,2026-07-14,1
ETHFI,kraken,180,2026-01-17,2026-07-15,1
ETHFI,kucoin,180,2026-01-17,2026-07-15,1
ETHFI,mexc,180,2026-01-17,2026-07-15,1
ETHFI,okx,180,2026-01-17,2026-07-15,1
ETHFI,upbit,119,2026-03-19,2026-07-15,0
GMX,binance,180,2026-01-17,2026-07-15,1
GMX,bitget,180,2026-01-16,2026-07-14,1
GMX,bybit,180,2026-01-17,2026-07-15,1
GMX,coinbase,0,,,0
GMX,crypto_com,180,2026-01-17,2026-07-15,1
GMX,gate,180,2026-01-17,2026-07-15,1
GMX,htx,180,2026-01-16,2026-07-14,1
GMX,kraken,180,2026-01-17,2026-07-15,1
GMX,kucoin,180,2026-01-17,2026-07-15,1
GMX,mexc,180,2026-01-17,2026-07-15,1
GMX,okx,180,2026-01-17,2026-07-15,1
GMX,upbit,0,,,0
GRT,binance,180,2026-01-17,2026-07-15,1
GRT,bitget,180,2026-01-16,2026-07-14,1
GRT,bybit,180,2026-01-17,2026-07-15,1
GRT,coinbase,180,2026-01-17,2026-07-15,1
GRT,crypto_com,180,2026-01-17,2026-07-15,1
GRT,gate,180,2026-01-17,2026-07-15,1
GRT,htx,180,2026-01-16,2026-07-14,1
GRT,kraken,180,2026-01-17,2026-07-15,1
GRT,kucoin,180,2026-01-17,2026-07-15,1
GRT,mexc,180,2026-01-17,2026-07-15,1
GRT,okx,180,2026-01-17,2026-07-15,1
GRT,upbit,180,2026-01-17,2026-07-15,1
JTO,binance,180,2026-01-17,2026-07-15,1
JTO,bitget,180,2026-01-16,2026-07-14,1
JTO,bybit,180,2026-01-17,2026-07-15,1
JTO,coinbase,180,2026-01-17,2026-07-15,1
JTO,crypto_com,0,,,0
JTO,gate,180,2026-01-17,2026-07-15,1
JTO,htx,180,2026-01-16,2026-07-14,1
JTO,kraken,180,2026-01-17,2026-07-15,1
JTO,kucoin,180,2026-01-17,2026-07-15,1
JTO,mexc,180,2026-01-17,2026-07-15,1
JTO,okx,180,2026-01-17,2026-07-15,1
JTO,upbit,180,2026-01-17,2026-07-15,1
JUP,binance,180,2026-01-17,2026-07-15,1
JUP,bitget,180,2026-01-16,2026-07-14,1
JUP,bybit,180,2026-01-17,2026-07-15,1
JUP,coinbase,0,,,0
JUP,crypto_com,180,2026-01-17,2026-07-15,1
JUP,gate,180,2026-01-17,2026-07-15,1
JUP,htx,180,2026-01-16,2026-07-14,1
JUP,kraken,180,2026-01-17,2026-07-15,1
JUP,kucoin,180,2026-01-17,2026-07-15,1
JUP,mexc,180,2026-01-17,2026-07-15,1
JUP,okx,180,2026-01-17,2026-07-15,1
JUP,upbit,180,2026-01-17,2026-07-15,1
LDO,binance,180,2026-01-17,2026-07-15,1
LDO,bitget,180,2026-01-16,2026-07-14,1
LDO,bybit,180,2026-01-17,2026-07-15,1
LDO,coinbase,180,2026-01-17,2026-07-15,1
LDO,crypto_com,180,2026-01-17,2026-07-15,1
LDO,gate,180,2026-01-17,2026-07-15,1
LDO,htx,180,2026-01-16,2026-07-14,1
LDO,kraken,180,2026-01-17,2026-07-15,1
LDO,kucoin,180,2026-01-17,2026-07-15,1
LDO,mexc,180,2026-01-17,2026-07-15,1
LDO,okx,180,2026-01-17,2026-07-15,1
LDO,upbit,4,2026-06-20,2026-07-06,0
LINK,binance,180,2026-01-17,2026-07-15,1
LINK,bitget,180,2026-01-16,2026-07-14,1
LINK,bybit,180,2026-01-17,2026-07-15,1
LINK,coinbase,180,2026-01-17,2026-07-15,1
LINK,crypto_com,180,2026-01-17,2026-07-15,1
LINK,gate,180,2026-01-17,2026-07-15,1
LINK,htx,180,2026-01-16,2026-07-14,1
LINK,kraken,180,2026-01-17,2026-07-15,1
LINK,kucoin,180,2026-01-17,2026-07-15,1
LINK,mexc,180,2026-01-17,2026-07-15,1
LINK,okx,180,2026-01-17,2026-07-15,1
LINK,upbit,180,2026-01-17,2026-07-15,1
MORPHO,binance,180,2026-01-17,2026-07-15,1
MORPHO,bitget,180,2026-01-16,2026-07-14,1
MORPHO,bybit,180,2026-01-17,2026-07-15,1
MORPHO,coinbase,180,2026-01-17,2026-07-15,1
MORPHO,crypto_com,0,,,0
MORPHO,gate,180,2026-01-17,2026-07-15,1
MORPHO,htx,180,2026-01-16,2026-07-14,1
MORPHO,kraken,180,2026-01-17,2026-07-15,1
MORPHO,kucoin,180,2026-01-17,2026-07-15,1
MORPHO,mexc,180,2026-01-17,2026-07-15,1
MORPHO,okx,180,2026-01-17,2026-07-15,1
MORPHO,upbit,2,2026-07-09,2026-07-12,0
ONDO,binance,180,2026-01-17,2026-07-15,1
ONDO,bitget,180,2026-01-16,2026-07-14,1
ONDO,bybit,180,2026-01-17,2026-07-15,1
ONDO,coinbase,180,2026-01-17,2026-07-15,1
ONDO,crypto_com,180,2026-01-17,2026-07-15,1
ONDO,gate,180,2026-01-17,2026-07-15,1
ONDO,htx,180,2026-01-16,2026-07-14,1
ONDO,kraken,180,2026-01-17,2026-07-15,1
ONDO,kucoin,180,2026-01-17,2026-07-15,1
ONDO,mexc,180,2026-01-17,2026-07-15,1
ONDO,okx,180,2026-01-17,2026-07-15,1
ONDO,upbit,180,2026-01-17,2026-07-15,1
OP,binance,180,2026-01-17,2026-07-15,1
OP,bitget,180,2026-01-16,2026-07-14,1
OP,bybit,180,2026-01-17,2026-07-15,1
OP,coinbase,180,2026-01-17,2026-07-15,1
OP,crypto_com,180,2026-01-17,2026-07-15,1
OP,gate,180,2026-01-17,2026-07-15,1
OP,htx,180,2026-01-16,2026-07-14,1
OP,kraken,180,2026-01-17,2026-07-15,1
OP,kucoin,180,2026-01-17,2026-07-15,1
OP,mexc,180,2026-01-17,2026-07-15,1
OP,okx,180,2026-01-17,2026-07-15,1
OP,upbit,180,2026-01-17,2026-07-15,1
PENDLE,binance,180,2026-01-17,2026-07-15,1
PENDLE,bitget,180,2026-01-16,2026-07-14,1
PENDLE,bybit,180,2026-01-17,2026-07-15,1
PENDLE,coinbase,180,2026-01-17,2026-07-15,1
PENDLE,crypto_com,180,2026-01-17,2026-07-15,1
PENDLE,gate,180,2026-01-17,2026-07-15,1
PENDLE,htx,180,2026-01-16,2026-07-14,1
PENDLE,kraken,180,2026-01-17,2026-07-15,1
PENDLE,kucoin,180,2026-01-17,2026-07-15,1
PENDLE,mexc,180,2026-01-17,2026-07-15,1
PENDLE,okx,180,2026-01-17,2026-07-15,1
PENDLE,upbit,180,2026-01-17,2026-07-15,1
PEPE,binance,180,2026-01-17,2026-07-15,1
PEPE,bitget,180,2026-01-16,2026-07-14,1
PEPE,bybit,180,2026-01-17,2026-07-15,1
PEPE,coinbase,180,2026-01-17,2026-07-15,1
PEPE,crypto_com,180,2026-01-17,2026-07-15,1
PEPE,gate,180,2026-01-17,2026-07-15,1
PEPE,htx,180,2026-01-16,2026-07-14,1
PEPE,kraken,180,2026-01-17,2026-07-15,1
PEPE,kucoin,180,2026-01-17,2026-07-15,1
PEPE,mexc,180,2026-01-17,2026-07-15,1
PEPE,okx,180,2026-01-17,2026-07-15,1
PEPE,upbit,180,2026-01-17,2026-07-15,1
RAY,binance,180,2026-01-17,2026-07-15,1
RAY,bitget,180,2026-01-16,2026-07-14,1
RAY,bybit,0,,,0
RAY,coinbase,180,2026-01-17,2026-07-15,1
RAY,crypto_com,180,2026-01-17,2026-07-15,1
RAY,gate,180,2026-01-17,2026-07-15,1
RAY,htx,180,2026-01-16,2026-07-14,1
RAY,kraken,180,2026-01-17,2026-07-15,1
RAY,kucoin,180,2026-01-17,2026-07-15,1
RAY,mexc,180,2026-01-17,2026-07-15,1
RAY,okx,180,2026-01-17,2026-07-15,1
RAY,upbit,180,2026-01-17,2026-07-15,1
SHIB,binance,180,2026-01-17,2026-07-15,1
SHIB,bitget,180,2026-01-16,2026-07-14,1
SHIB,bybit,180,2026-01-17,2026-07-15,1
SHIB,coinbase,180,2026-01-17,2026-07-15,1
SHIB,crypto_com,180,2026-01-17,2026-07-15,1
SHIB,gate,180,2026-01-17,2026-07-15,1
SHIB,htx,180,2026-01-16,2026-07-14,1
SHIB,kraken,180,2026-01-17,2026-07-15,1
SHIB,kucoin,180,2026-01-17,2026-07-15,1
SHIB,mexc,180,2026-01-17,2026-07-15,1
SHIB,okx,180,2026-01-17,2026-07-15,1
SHIB,upbit,180,2026-01-17,2026-07-15,1
SNX,binance,180,2026-01-17,2026-07-15,1
SNX,bitget,180,2026-01-16,2026-07-14,1
SNX,bybit,180,2026-01-17,2026-07-15,1
SNX,coinbase,180,2026-01-17,2026-07-15,1
SNX,crypto_com,180,2026-01-17,2026-07-15,1
SNX,gate,180,2026-01-17,2026-07-15,1
SNX,htx,180,2026-01-16,2026-07-14,1
SNX,kraken,180,2026-01-17,2026-07-15,1
SNX,kucoin,180,2026-01-17,2026-07-15,1
SNX,mexc,180,2026-01-17,2026-07-15,1
SNX,okx,180,2026-01-17,2026-07-15,1
SNX,upbit,0,,,0
STRK,binance,180,2026-01-17,2026-07-15,1
STRK,bitget,180,2026-01-16,2026-07-14,1
STRK,bybit,180,2026-01-17,2026-07-15,1
STRK,coinbase,180,2026-01-17,2026-07-15,1
STRK,crypto_com,180,2026-01-17,2026-07-15,1
STRK,gate,180,2026-01-17,2026-07-15,1
STRK,htx,180,2026-01-16,2026-07-14,1
STRK,kraken,180,2026-01-17,2026-07-15,1
STRK,kucoin,180,2026-01-17,2026-07-15,1
STRK,mexc,180,2026-01-17,2026-07-15,1
STRK,okx,180,2026-01-17,2026-07-15,1
STRK,upbit,0,,,0
SUSHI,binance,180,2026-01-17,2026-07-15,1
SUSHI,bitget,180,2026-01-16,2026-07-14,1
SUSHI,bybit,180,2026-01-17,2026-07-15,1
SUSHI,coinbase,180,2026-01-17,2026-07-15,1
SUSHI,crypto_com,180,2026-01-17,2026-07-15,1
SUSHI,gate,180,2026-01-17,2026-07-15,1
SUSHI,htx,180,2026-01-16,2026-07-14,1
SUSHI,kraken,180,2026-01-17,2026-07-15,1
SUSHI,kucoin,180,2026-01-17,2026-07-15,1
SUSHI,mexc,180,2026-01-17,2026-07-15,1
SUSHI,okx,180,2026-01-17,2026-07-15,1
SUSHI,upbit,0,,,0
UNI,binance,180,2026-01-17,2026-07-15,1
UNI,bitget,180,2026-01-16,2026-07-14,1
UNI,bybit,180,2026-01-17,2026-07-15,1
UNI,coinbase,180,2026-01-17,2026-07-15,1
UNI,crypto_com,180,2026-01-17,2026-07-15,1
UNI,gate,180,2026-01-17,2026-07-15,1
UNI,htx,180,2026-01-16,2026-07-14,1
UNI,kraken,180,2026-01-17,2026-07-15,1
UNI,kucoin,180,2026-01-17,2026-07-15,1
UNI,mexc,180,2026-01-17,2026-07-15,1
UNI,okx,180,2026-01-17,2026-07-15,1
UNI,upbit,180,2026-01-17,2026-07-15,1
WLD,binance,180,2026-01-17,2026-07-15,1
WLD,bitget,180,2026-01-16,2026-07-14,1
WLD,bybit,180,2026-01-17,2026-07-15,1
WLD,coinbase,180,2026-01-17,2026-07-15,1
WLD,crypto_com,180,2026-01-17,2026-07-15,1
WLD,gate,180,2026-01-17,2026-07-15,1
WLD,htx,180,2026-01-16,2026-07-14,1
WLD,kraken,180,2026-01-17,2026-07-15,1
WLD,kucoin,180,2026-01-17,2026-07-15,1
WLD,mexc,180,2026-01-17,2026-07-15,1
WLD,okx,180,2026-01-17,2026-07-15,1
WLD,upbit,180,2026-01-17,2026-07-15,1
ZK,binance,180,2026-01-17,2026-07-15,1
ZK,bitget,180,2026-01-16,2026-07-14,1
ZK,bybit,180,2026-01-17,2026-07-15,1
ZK,coinbase,180,2026-01-17,2026-07-15,1
ZK,crypto_com,180,2026-01-17,2026-07-15,1
ZK,gate,180,2026-01-17,2026-07-15,1
ZK,htx,180,2026-01-16,2026-07-14,1
ZK,kraken,180,2026-01-17,2026-07-15,1
ZK,kucoin,180,2026-01-17,2026-07-15,1
ZK,mexc,180,2026-01-17,2026-07-15,1
ZK,okx,180,2026-01-17,2026-07-15,1
ZK,upbit,180,2026-01-17,2026-07-15,1
