token_id,event_type,event_time,event_name,event_window_start,event_window_end,event_size_token,event_size_usd,event_size_supply_pct,source,secondary_source,confidence,is_analysis_eligible,notes
ARB,unlock,2026-01-16T00:00:00Z,Monthly team and investor unlock,2026-01-09,2026-01-30,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,1,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
OP,unlock,2026-01-28T00:00:00Z,Estimated scheduled OP unlock,2026-01-21,2026-02-11,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,1,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
ENA,unlock,2026-02-01T00:00:00Z,Monthly ENA allocation unlock,2026-01-25,2026-02-15,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,1,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ARB,unlock,2026-02-16T00:00:00Z,Monthly team and investor unlock,2026-02-09,2026-03-02,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,1,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
OP,unlock,2026-02-28T00:00:00Z,Estimated scheduled OP unlock,2026-02-21,2026-03-14,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,1,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
ENA,unlock,2026-03-01T00:00:00Z,Monthly ENA allocation unlock,2026-02-22,2026-03-15,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,1,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ARB,unlock,2026-03-16T00:00:00Z,Monthly team and investor unlock,2026-03-09,2026-03-30,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,1,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
ENA,unlock,2026-04-01T00:00:00Z,Monthly ENA allocation unlock,2026-03-25,2026-04-15,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,1,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
LINK,unlock,2026-04-04T00:00:00Z,Observed quarterly LINK supply release,2026-03-28,2026-04-18,17875000,,,https://finance.yahoo.com/markets/crypto/articles/massive-chainlink-token-unlock-sparks-153100635.html,https://chain.link/circulating-supply,high,1,Observed onchain transfer from non-circulating supply; USD value is left blank
ARB,unlock,2026-04-16T00:00:00Z,Monthly team and investor unlock,2026-04-09,2026-04-30,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,1,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
OP,unlock,2026-04-28T00:00:00Z,Estimated scheduled OP unlock,2026-04-21,2026-05-12,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,1,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
ENA,unlock,2026-05-01T00:00:00Z,Monthly ENA allocation unlock,2026-04-24,2026-05-15,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,1,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ARB,unlock,2026-05-16T00:00:00Z,Monthly team and investor unlock,2026-05-09,2026-05-30,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,1,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
OP,unlock,2026-05-28T00:00:00Z,Estimated scheduled OP unlock,2026-05-21,2026-06-11,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,1,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
ENA,unlock,2026-06-01T00:00:00Z,Monthly ENA allocation unlock,2026-05-25,2026-06-15,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,1,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ARB,unlock,2026-06-16T00:00:00Z,Monthly team and investor unlock,2026-06-09,2026-06-30,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,1,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
LINK,unlock,2026-06-19T00:00:00Z,Observed quarterly LINK supply release,2026-06-12,2026-07-03,21000000,,,https://defillama.com/protocol/unlocks/chainlink,https://chain.link/circulating-supply,high,1,DefiLlama tracks transfers from official non-circulating wallets; USD value is left blank
OP,unlock,2026-06-28T00:00:00Z,Estimated scheduled OP unlock,2026-06-21,2026-07-12,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,0,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
ENA,unlock,2026-07-01T00:00:00Z,Monthly ENA allocation unlock,2026-06-24,2026-07-15,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,0,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
